"Pathway";"Abatacept_NES";"Abatacept_pval";"Abatacept_padj";"Abatacept_leadingEdge";"earlyCOVID_NES";"earlyCOVID_pval";"earlyCOVID_padj";"lateCOVID_NES";"lateCOVID_pval";"lateCOVID_padj"
"GO:0042116";"macrophage activation";-1.57669770174361;0.0058992029723737;0.00927017609944439;"JUN, VSIG4, GRN, SYK, IL1RL1, ITGAM, ITGB2, PJA2, DYSF, TLR2, CTSC, SLC11A1, C5AR1, LRRK2, AZU1, TLR4, PRKCE, CST7, JMJD6, FPR2, TLR8, TYROBP, C1QA, CD93, BPI, FOXP1, SUCNR1, JAK2, THBS1, IFNGR1, NAMPT, APP, CEBPA, SBNO2, MMP8, TLR6, AGER";2.06198711816753;4.66413559575004e-06;1.34517741667237e-05;1.60206949398257;0.00320354279634521;0.0109961482197737
"GO:0034341";"response to interferon-gamma";-1.50924721173261;0.00294736408948053;0.00598132720121637;"CALCOCO2, ACTG1, ACTR2, VPS26B, GSN, DAPK1, VIM, CXCL16, JAK1, PRKCD, IFNGR2, GAPDH, SEC61A1, CAMK2G, WAS, HLA-C, IRF2, HLA-B, HLA-A, STXBP2, CD58, HLA-E, TLR2, DAPK3, SLC11A1, ZYX, SIRPA, IRF4, PIAS1, MEFV, CDC42EP4, TRIM21, TLR4, PTAFR, IFITM2, GBP2, TRIM8, STAT1, TRIM62, ACTR3, VAMP3, HCK, IRF1, ARG1, RAB43, STX4, SLC26A6, NLRC5, JAK2, STXBP3, IFNGR1, HLA-H, NR1H2, SOCS1, IL12RB1";1.93510932619125;2.50610235924476e-06;1.15323929191107e-05;1.4668802528719;0.00349877443356435;0.0109961482197737
"GO:0071356";"cellular response to tumor necrosis factor";-1.4055227448606;0.00569954888676896;0.00927017609944439;"GBA, PSMC1, SGMS1, ZFP36L2, SYK, TNFRSF11A, RFFL, PSMC4, PSMD9, ADAM17, MAPK3, PSMD13, ACTN4, PSME3, SPATA2, MAPK1, HSPA1A, TNFRSF1B, TNFSF14, PSME1, CARD8, MAP3K5, HDAC4, HSPA1B, CYBA, KLF2, ILK, CD58, PSMB3, PSMB9, PTK2B, MAPK14, ASAH1, PYCARD, NFKBIA, HIST1H2BJ, ARHGEF2, AKT1, TNFRSF12A, GPER1, LIMS1, NFKB1, PSMB10, PIAS4, TNFSF13, TNFAIP3, ZFAND6, RBCK1, PSMB2, IKBKG, CASP8, GBP2, LCN2, STAT1, PSMD6, HIPK1, ZFP36L1, CPNE1, BRCA1, ZFP36, BAG4, PSMB8, TNFRSF8, JAK2, PSMD2, TNFRSF1A, NFE2L2, TNFRSF9, THBS1, AIM2, WDR35, PSMD11, ICAM1, CDIP1, CASP4, CEBPA, PRPF8, HYAL1, TMSB4X, FAM105B, TNFRSF13B, F2RL1, TRADD";1.74566514305299;1.31049919535349e-05;2.88309822977769e-05;1.32884546794849;0.0127687528934661;0.0263957397951614
"GO:0032612";"interleukin-1 production";-1.52224363178265;0.00878830676365888;0.012083921800031;"IL1R2, CARD8, LILRA2, NLRP12, NLRC4, MR1, SIRPA, PANX2, PYCARD, MEFV, ORM1, AZU1, LILRA5, TNFAIP3, TLR4, CASP8, TLR8, TYROBP, GHRL, CARD17, ORM2, ARRB2, FOXP1, SUCNR1, ABCA1, JAK2, AIM2, NLRP1, IFI16, APP, MNDA, F2RL1, NOD2, TLR6, AGER, SERPINB1, ACP5, GSDMD, CEACAM1, MIR766, TMEM106A, HK1";2.2120073147838;2.35903581488174e-06;1.15323929191107e-05;1.51945374175119;0.00624466242963844;0.0152647303835606
"GO:0032635";"interleukin-6 production";-2.07785913854099;2.49695995125934e-06;9.83173433581272e-06;"GBA, FOXP3, TIRAP, NLRX1, MAPKAPK2, IRAK3, AKIRIN2, SYK, NCKAP1L, PTPN6, CSK, INPP5D, IL6R, RABGEF1, CYBA, STAT3, LILRA2, KLF2, BCL10, IL18RAP, NLRP12, MYD88, LILRB2, TLR2, HGF, SIRPA, PYCARD, MBP, TRAF6, ARHGEF2, MAPK13, ASH1L, ORM1, TRPV4, LILRA5, TNFAIP3, TLR4, PTAFR, C5AR2, TLR8, IL18, TYROBP, GHRL, BPI, SYT11, ARRB2";1.95797196763567;4.87448208627833e-06;1.34517741667237e-05;1.71043987385968;0.000174453681336121;0.00179010673104541
"GO:0032640";"tumor necrosis factor production";-1.51595286701506;0.00415387211918011;0.00761543221849686;"FOXP3, FADD, TIRAP, SASH3, MAPKAPK2, IRAK3, SYK, PSEN1, PTPN6, C10orf54, FRMD8, CYBA, LILRA2, DICER1, TSPO, HLA-E, TLR2, PTPRJ, SIRPA, PYCARD, LRRK2, ARHGEF2, RARA, ORM1, AZU1, LILRA5, TNFAIP3, TLR4, PTAFR, C5AR2, TYROBP, GHRL, BPI, ORM2, LTF, SYT11, ARRB2, ZFP36, FOXP1, FCER1G, TNFRSF8, JAK2, THBS1, IFNGR1, MAVS";1.71677716990344;0.000320569291908929;0.000470168294799762;1.51166569397473;0.00285670959883775;0.0109961482197737
"GO:0032637";"interleukin-8 production";-1.69384382795818;0.00228671694133282;0.00558975252325801;"FADD, TIRAP, SYK, HSPA1A, HSPA1B, LILRA2, BCL10, CD58, MYD88, TLR2, PYCARD, RAB1A, PRKD2, TLR4, C5AR2, FCN1, TLR8, TLR5, BPI, KLF4, ELANE, MAVS, CD14, TMSB4X, F2RL1, NOD2, TLR6, SERPINE1, ANXA4";1.93330175905509;0.000122520123352336;0.000192531622410813;1.29696575246428;0.0737523707439227;0.108170143757753
"GO:0098760";"response to interleukin-7";-2.37807082632574;2.29028438461204e-06;9.83173433581272e-06;"HIST1H3J, HIST1H3B, HIST1H3G, HIST1H3C, HIST2H3C, HIST2H3A, HIST1H3F, P4HB, HIST1H3D, HIST2H3D, RAD23B, JAK1, IL2RG, CRKL, IRS2, STAT3";0.745545050220071;0.852627197546415;0.852627197546415;0.951902776288305;0.523400839713509;0.575740923684861
"GO:0032613";"interleukin-10 production";-1.25593634763888;0.125332112198716;0.15318369268732;"FOXP3, PRKCZ, SASH3, SYK, PRKCD, C10orf54, TLR2, HGF, CD46, PYCARD, IRF4, LILRA5, TLR4, TYROBP";1.16218519024547;0.214412411340306;0.262059613860374;1.17295149144597;0.191531539305202;0.234094103595247
"GO:0006956";"complement activation";-3.51701317000096;2.47368004432835e-06;9.83173433581272e-06;"IGKV2D-28, IGKV2-28, IGHA1, IGLV3-25, IGHG2, IGLV3-1, IGLC2, IGLV1-40, IGHV3-23, IGKV2D-30, IGKV1-5, IGHV4-59, IGLC3, IGHV3-11, IGHG4, IGLV2-11, IGKV1-16, IGHA2, IGKV1D-39, IGHV3-53, IGHG1, IGKV1-39, IGKV1-12, IGLV2-8, IGKV4-1, IGKV2-30, IGLV3-21, IGLV3-19, IGHV5-51, IGHV3-74, IGKV3D-20, IGLV2-14, IGHV3-30, IGLV6-57, IGKV1-17, IGHV3-33, IGKV3-15, IGLV1-44, IGHV3-7, IGHV6-1, IGKV3-20, IGLV1-47, IGKV1D-33, IGHV4-39, IGLV2-23, IGHV4-61, IGHV3-15, IGHG3, IGHV2-5, VSIG4, IGHV3-49, IGHV4-31, IGHV4-4, IGHV1-18, IGHV3-9, IGHV1-69, IGLC7, IGHV3-21, IGHV3-48";3.08627016994265;2.46284187323753e-06;1.15323929191107e-05;1.5248443851995;0.0131978698975807;0.0263957397951614
"GO:0019724";"B cell mediated immunity";-3.34466755805843;2.59669440801859e-06;9.83173433581272e-06;"IGKV2D-28, IGKV2-28, IGHA1, IGLV3-25, IGHG2, IGLV3-1, IGLC2, IGLV1-40, IGHV3-23, IGKV2D-30, IGKV1-5, IGHV4-59, IGLC3, IGHV3-11, IGHG4, IGLV2-11, IGKV1-16, IGHA2, IGKV1D-39, IGHV3-53, IGHG1, IGKV1-39, IGKV1-12, IGLV2-8, IGKV4-1, IGKV2-30, IGLV3-21, IGLV3-19, IGHV5-51, IGHV3-74, IGKV3D-20, IGLV2-14, IGHV3-30, IGLV6-57, IGKV1-17, IGHV3-33, IGKV3-15, IGLV1-44, IGHV3-7, IGHV6-1, IGKV3-20, IGLV1-47, IGKV1D-33, IGHV4-39, IGLV2-23, IGHV4-61, IGHV3-15, IGHG3, FOXP3, IGHV2-5, IGHV3-49, IGHV4-31, IGHV4-4, IGHV1-18, IGHV3-9, IGHV1-69, IGLC7, PTPN6, IGHV3-21, IGHV3-48";2.706325644516;2.56551688751491e-06;1.15323929191107e-05;-0.905540398125093;0.680592517085919;0.687252733502379
"GO:0030193";"regulation of blood coagulation";-0.995531672311051;0.454300441172693;0.499730485289962;"ANXA5, SYK, PLAUR, PLEK, PRKCD, UBASH3B, ABAT, LYN, TLR4, USF1, SH2B3, HPSE, F12, FCER1G, NFE2L2, THBS1, ANO6, ALOX12, F2RL1, PLAU, SERPINE1, SERPING1, PDGFA";1.99934181495074;9.32000345522079e-05;0.000157723135396044;1.29757901598489;0.084886818336411;0.109853529611826
